iter	Passed	Remaining
0	2	214
1	4	227
2	7	245
3	8	210
4	10	194
5	12	199
6	14	194
7	16	187
8	18	182
9	20	183
10	21	177
11	23	174
12	25	170
13	27	169
14	29	165
15	30	160
16	32	156
17	34	156
18	35	152
19	37	149
20	38	145
21	39	141
22	42	141
23	43	138
24	45	135
25	47	134
26	48	131
27	49	128
28	51	125
29	52	123
30	53	120
31	55	117
32	57	115
33	58	113
34	59	111
35	61	109
36	63	107
37	64	105
38	65	102
39	67	100
40	68	98
41	68	95
42	70	94
43	72	91
44	73	89
45	75	88
46	76	86
47	77	84
48	79	82
49	80	80
50	81	78
51	82	76
52	84	74
53	86	73
54	87	71
55	88	69
56	91	68
57	92	67
58	93	65
59	95	63
60	96	61
61	97	59
62	98	57
63	99	56
64	101	54
65	103	53
66	104	51
67	105	49
68	106	48
69	108	46
70	109	44
71	110	42
72	111	41
73	112	39
74	113	37
75	115	36
76	116	34
77	117	33
78	118	31
79	119	29
80	120	28
81	121	26
82	122	25
83	123	23
84	124	21
85	125	20
86	126	18
87	127	17
88	130	16
89	131	14
90	132	13
91	134	11
92	135	10
93	135	8
94	136	7
95	137	5
96	138	4
97	139	2
98	140	1
99	141	0
