iter	Passed	Remaining
0	139	139268
1	140	70057
2	141	46973
3	142	35426
4	143	28474
5	143	23830
6	144	20506
7	145	18023
8	146	16092
9	146	14549
10	147	13281
11	150	12363
12	151	11466
13	151	10686
14	152	10011
15	153	9417
16	153	8896
17	154	8430
18	155	8015
19	155	7641
20	156	7302
21	157	6994
22	158	6713
23	158	6464
24	160	6242
25	160	6028
26	161	5824
27	163	5672
28	164	5523
29	165	5356
30	166	5200
31	167	5053
32	167	4916
33	168	4786
34	169	4663
35	169	4548
36	170	4439
37	171	4335
38	171	4236
39	172	4143
40	173	4058
41	174	3982
42	175	3905
43	177	3852
44	180	3838
45	181	3769
46	182	3707
47	183	3648
48	185	3595
49	186	3541
50	187	3487
51	188	3429
52	188	3375
53	189	3326
54	190	3277
55	192	3252
56	193	3204
57	194	3157
58	195	3111
59	195	3067
60	196	3024
61	197	2983
62	197	2943
63	198	2904
64	199	2867
65	200	2831
66	200	2795
67	201	2763
68	202	2730
69	203	2698
70	204	2677
71	207	2672
72	208	2652
73	210	2630
74	211	2612
75	213	2590
76	214	2570
77	215	2549
78	217	2531
79	218	2508
80	219	2485
81	219	2462
82	221	2443
83	222	2423
84	223	2402
85	224	2382
86	225	2363
87	226	2343
88	227	2324
89	227	2305
90	228	2286
91	230	2277
92	231	2259
93	232	2241
94	234	2238
95	238	2247
96	239	2232
97	240	2217
98	241	2198
99	242	2181
100	243	2166
101	244	2149
102	244	2132
103	245	2115
104	246	2099
105	247	2083
106	247	2068
107	249	2064
108	251	2052
109	251	2038
110	252	2024
111	253	2011
112	254	1998
113	255	1985
114	256	1975
115	257	1963
116	258	1949
117	259	1937
118	260	1926
119	260	1913
120	261	1900
121	262	1887
122	263	1880
123	264	1872
124	265	1861
125	266	1852
126	267	1841
127	269	1835
128	270	1826
129	271	1816
130	272	1805
131	273	1795
132	273	1785
133	274	1775
134	275	1765
135	276	1756
136	279	1758
137	280	1750
138	281	1743
139	282	1736
140	283	1727
141	284	1716
142	284	1706
143	285	1696
144	286	1687
145	286	1678
146	287	1669
147	288	1660
148	289	1651
149	289	1642
150	290	1634
151	293	1638
152	294	1632
153	296	1628
154	297	1622
155	298	1615
156	299	1607
157	300	1599
158	300	1591
159	301	1583
160	302	1574
161	302	1566
162	303	1558
163	304	1550
164	304	1543
165	305	1535
166	308	1538
167	309	1532
168	310	1527
169	311	1522
170	313	1518
171	314	1512
172	315	1506
173	316	1500
174	316	1493
175	317	1487
176	318	1480
177	319	1474
178	320	1469
179	322	1468
180	323	1465
181	325	1460
182	326	1455
183	326	1449
184	327	1442
185	328	1435
186	328	1429
187	329	1424
188	330	1418
189	331	1412
190	332	1408
191	333	1402
192	334	1396
193	336	1398
194	338	1398
195	339	1394
196	340	1389
197	342	1385
198	342	1380
199	343	1374
200	344	1368
201	345	1363
202	346	1358
203	347	1354
204	347	1349
205	348	1344
206	352	1350
207	353	1346
208	354	1341
209	355	1336
210	356	1332
211	357	1328
212	358	1323
213	358	1318
214	359	1313
215	360	1308
216	361	1302
217	361	1297
218	362	1292
219	363	1288
220	369	1301
221	370	1297
222	371	1293
223	372	1290
224	373	1287
225	375	1284
226	376	1281
227	377	1278
228	378	1273
229	381	1276
230	382	1273
231	383	1270
232	384	1265
233	385	1260
234	385	1255
235	386	1251
236	387	1246
237	387	1242
238	388	1237
239	389	1232
240	390	1228
241	390	1223
242	391	1219
243	392	1215
244	392	1210
245	395	1212
246	396	1208
